agent,env,env_step,episode_reward,seed
DCWM (ours),humanoid-walk,1651000.0,915.47509765625,1
DCWM (ours),humanoid-walk,1676000.0,907.9415893554688,1
DCWM (ours),humanoid-walk,1701000.0,920.6132202148438,1
DCWM (ours),humanoid-walk,1726000.0,920.7158203125,1
DCWM (ours),humanoid-walk,1751000.0,922.3417358398438,1
DCWM (ours),humanoid-walk,1776000.0,919.58984375,1
DCWM (ours),humanoid-walk,1801000.0,905.7127075195312,1
DCWM (ours),humanoid-walk,1826000.0,918.2314453125,1
DCWM (ours),humanoid-walk,1851000.0,920.3341064453124,1
DCWM (ours),humanoid-walk,1876000.0,923.0128784179688,1
DCWM (ours),humanoid-walk,1901000.0,922.11474609375,1
DCWM (ours),humanoid-walk,1926000.0,923.2229614257812,1
DCWM (ours),humanoid-walk,1951000.0,915.9796142578124,1
DCWM (ours),humanoid-walk,1976000.0,910.7853393554688,1
DCWM (ours),humanoid-walk,2001000.0,924.0363159179688,1
DCWM (ours),humanoid-walk,2026000.0,921.7097778320312,1
DCWM (ours),humanoid-walk,2051000.0,927.19970703125,1
DCWM (ours),humanoid-walk,2076000.0,926.1371459960938,1
DCWM (ours),humanoid-walk,2101000.0,910.0505981445312,1
DCWM (ours),humanoid-walk,2126000.0,923.8640747070312,1
DCWM (ours),humanoid-walk,2151000.0,918.9326171875,1
DCWM (ours),humanoid-walk,2176000.0,922.1935424804688,1
DCWM (ours),humanoid-walk,2201000.0,917.6908569335938,1
DCWM (ours),humanoid-walk,2226000.0,919.6433715820312,1
